condition,param,accuracy,f1_macro
clean,,0.725,0.7206349206349206
snr_db,20,0.5125,0.3798449612403101
snr_db,15,0.5625,0.4963122863824429
snr_db,10,0.5375,0.5339316643048339
snr_db,5,0.5,0.35431799838579503
stretch_rate,0.9,0.6875,0.6834942237695838
stretch_rate,1.1,0.725,0.7206349206349206
