condition,param,accuracy,f1_macro
clean,,0.8545454545454545,0.8545454545454545
snr_db,20,0.5409090909090909,0.418309379826697
snr_db,15,0.5,0.3333333333333333
snr_db,10,0.4636363636363636,0.3614718614718615
snr_db,5,0.43636363636363634,0.4351966873706004
stretch_rate,0.9,0.8545454545454545,0.8544973544973544
stretch_rate,1.1,0.8636363636363636,0.8636363636363636
