condition,param,accuracy,f1_macro
clean,,0.725,0.7206349206349206
snr_db,20,0.5125,0.3798449612403101
snr_db,15,0.575,0.49404761904761907
snr_db,10,0.6375,0.6369895165075887
snr_db,5,0.5,0.3730407523510972
stretch_rate,0.9,0.6875,0.6834942237695838
stretch_rate,1.1,0.725,0.7206349206349206
