condition,param,accuracy,f1_macro
clean,,0.8827534039334342,0.8826173954936216
snr_db,20,0.5529500756429652,0.44953728982530794
snr_db,15,0.46747352496217853,0.3469131124303538
snr_db,10,0.47806354009077157,0.4583833081974611
snr_db,5,0.48714069591527986,0.47892482419912935
stretch_rate,0.9,0.8789712556732224,0.8787689824664369
stretch_rate,1.1,0.8789712556732224,0.8787978803381191
