condition,param,accuracy,f1_macro
clean,,0.725,0.7206349206349206
snr_db,20,0.4875,0.3277310924369748
snr_db,15,0.5625,0.45893719806763283
snr_db,10,0.5125,0.5105882352941176
snr_db,5,0.5375,0.44266616456411223
stretch_rate,0.9,0.6875,0.6834942237695838
stretch_rate,1.1,0.725,0.7206349206349206
